experiment,seed,value,accuracy,rate_accuracy,miss_rate,loss,loss_paper,input_log_likelihood,confusion_matrix_str
inhibition_rest,5464,0,0.66,0.73,0.0,0.5139114617072456,0.3403776921186192,-581.6331708582604,"[[ 0.  0.  0.  2.  0.  2.  5.  1.  0.  0.  0.]
 [ 0.  0.  7.  1.  0.  1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0. 10.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. 10.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. 10.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  2.  0.  0.  6.  1.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  1.  1.  7.  0.  0.]
 [ 0.  0.  0.  2.  0.  1.  1.  0.  0.  6.  0.]
 [ 0.  0.  2.  7.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]"
inhibition_rest,5464,0,0.55,0.74,0.0,0.530314777504998,0.34995753352263714,-522.3848212528917,"[[ 0.  4.  0.  0.  0.  0.  0.  0.  6.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  2.  0.  8.  0.]
 [ 0.  0.  0.  8.  0.  1.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0. 10.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  9.  0.  0.  0.  1.  0.]
 [ 0.  1.  0.  0.  0.  0.  6.  0.  2.  1.  0.]
 [ 0.  4.  0.  0.  0.  0.  1.  3.  1.  1.  0.]
 [ 0.  2.  0.  0.  1.  0.  0.  0.  5.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0. 10.  0.]
 [ 0.  2.  0.  0.  0.  0.  0.  0.  0.  8.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]"
inhibition_rest,5464,0,0.65,0.81,0.0,0.5341940370359589,0.35605742610592606,-564.3299449020304,"[[ 0. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  9.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  1.  6.  1.  0.  1.  0.  1.  0.  0.]
 [ 0.  0.  0.  0. 10.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  9.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  7.  0.  0.  1.  1.]
 [ 0.  0.  1.  1.  7.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  4.  0.  0.  6.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  1.  0.  1.  0.  0.  7.  0.]
 [ 0.  0.  0.  1.  0.  0.  1.  0.  0.  1.  7.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]"
inhibition_rest,5464,0,0.58,0.79,0.0,0.5670379823026866,0.3632984151397211,-582.2531572024051,"[[ 0. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  4.  4.  1.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  2.  8.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  3.  0.  0.  0.  0.  1.  0.  0.  6.  0.]
 [ 0.  2.  0.  1.  0.  7.  0.  0.  0.  0.  0.]
 [ 0.  2.  0.  0.  0.  0.  7.  0.  0.  1.  0.]
 [ 0.  2.  0.  0.  0.  0.  0.  7.  0.  1.  0.]
 [ 0.  4.  0.  0.  0.  0.  1.  0.  5.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0. 10.  0.]
 [ 0.  1.  0.  1.  0.  1.  3.  0.  0.  4.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]"
inhibition_rest,5464,0,0.56,0.72,0.0,0.47683373381186195,0.3254625724115505,-543.0610802482948,"[[ 0. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  5.  0.  0.  0.  0.  3.  0.  2.  0.]
 [ 0.  0.  0.  2.  0.  8.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  9.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  6.  0.  2.  0.  2.  0.]
 [ 0.  0.  6.  0.  0.  0.  0.  3.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  9.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  3.  5.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0. 10.  0.]
 [ 0.  0.  5.  1.  0.  0.  0.  2.  1.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]"
inhibition_rest,5464,25,0.53,0.73,0.0,0.5999895673942226,0.38797060876109296,-650.0798511856782,"[[0. 0. 6. 2. 0. 0. 1. 0. 0. 1. 0.]
 [0. 0. 9. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 9. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 9. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 8. 0. 0. 0. 2. 0.]
 [0. 0. 7. 1. 0. 1. 1. 0. 0. 0. 0.]
 [0. 0. 1. 1. 0. 0. 0. 7. 0. 0. 1.]
 [0. 0. 5. 3. 0. 2. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 3. 0. 0. 0. 6. 0.]
 [0. 0. 3. 3. 0. 0. 0. 0. 0. 0. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest,5464,25,0.52,0.69,0.0,0.6231663689831388,0.39025801787310993,-592.0449485264725,"[[ 0.  0.  2.  1.  0.  0.  2.  0.  1.  0.  4.]
 [ 0.  0. 10.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  7.  0.  1.  0.  0.  2.  0.  0.]
 [ 0.  0.  0.  1.  9.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  2.  0.  0.  8.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  9.  0.  0.  0.  0.]
 [ 0.  0.  2.  1.  1.  2.  2.  0.  0.  1.  1.]
 [ 0.  0.  2.  2.  0.  1.  1.  0.  4.  0.  0.]
 [ 0.  0.  3.  3.  0.  2.  0.  0.  0.  2.  0.]
 [ 0.  0.  4.  1.  0.  1.  1.  0.  0.  0.  3.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]"
inhibition_rest,5464,25,0.46,0.82,0.0,0.7012867105693689,0.4244218183238742,-670.7948970082344,"[[0. 8. 0. 1. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 1. 1. 0. 1. 2. 1. 0. 4. 0.]
 [0. 0. 0. 9. 0. 1. 0. 0. 0. 0. 0.]
 [0. 1. 1. 1. 4. 1. 0. 1. 0. 1. 0.]
 [0. 0. 0. 0. 0. 8. 0. 0. 0. 2. 0.]
 [0. 0. 0. 0. 0. 3. 1. 3. 0. 3. 0.]
 [0. 0. 0. 0. 0. 1. 0. 6. 0. 3. 0.]
 [0. 0. 0. 0. 0. 3. 0. 0. 3. 4. 0.]
 [0. 0. 0. 0. 0. 1. 0. 2. 1. 6. 0.]
 [0. 0. 0. 0. 0. 0. 0. 5. 0. 5. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest,5464,25,0.5,0.78,0.0,0.6097630194931252,0.3863082355877827,-626.6676872392554,"[[0. 5. 0. 0. 0. 1. 0. 0. 4. 0. 0.]
 [0. 0. 1. 0. 1. 1. 0. 0. 3. 2. 2.]
 [0. 0. 0. 9. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 7. 1. 0. 1. 1. 0. 0.]
 [0. 1. 0. 0. 0. 6. 0. 0. 1. 1. 1.]
 [0. 0. 0. 1. 0. 4. 0. 5. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 8. 1. 0. 0.]
 [0. 0. 0. 0. 0. 1. 0. 0. 8. 1. 0.]
 [0. 0. 1. 0. 0. 2. 0. 0. 2. 5. 0.]
 [0. 0. 0. 0. 0. 4. 0. 0. 2. 3. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest,5464,25,0.64,0.71,0.0,0.5384939872413927,0.3526543347314284,-588.537078214615,"[[ 0.  9.  0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  1.  5.  0.  0.  0.  0.  0.  2.  0.  2.]
 [ 0.  0.  0. 10.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  7.  0.  0.  2.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  5.  2.  2.]
 [ 0.  0.  0.  0.  3.  0.  0.  1.  1.  1.  4.]
 [ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. 10.  0.  0.]
 [ 0.  0.  0.  0.  6.  0.  0.  0.  1.  3.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 10.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]"
