experiment,seed,value,accuracy,rate_accuracy,miss_rate,loss,loss_paper,input_log_likelihood,confusion_matrix_str
inhibition_rest_classic,5464,0,0.28,0.62,0.0,0.8100602822590768,0.45926045105935337,-186.71278254005588,"[[0. 4. 0. 1. 0. 0. 2. 2. 1. 0. 0.]
 [0. 1. 0. 1. 1. 2. 1. 2. 2. 0. 0.]
 [0. 0. 0. 2. 0. 1. 2. 3. 2. 0. 0.]
 [0. 2. 0. 1. 3. 2. 2. 0. 0. 0. 0.]
 [0. 1. 0. 1. 0. 3. 2. 3. 0. 0. 0.]
 [0. 0. 0. 1. 1. 1. 6. 0. 1. 0. 0.]
 [0. 1. 0. 1. 0. 2. 2. 3. 1. 0. 0.]
 [0. 0. 0. 1. 0. 0. 1. 3. 5. 0. 0.]
 [0. 0. 0. 2. 0. 2. 3. 0. 1. 2. 0.]
 [0. 2. 0. 3. 0. 3. 0. 1. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,0,0.25,0.49,0.01,0.8367514331486899,0.45828667075917456,-191.64824952895518,"[[0. 0. 0. 0. 0. 2. 1. 0. 5. 2. 0.]
 [0. 0. 3. 1. 0. 1. 1. 0. 4. 0. 0.]
 [0. 0. 1. 3. 0. 3. 1. 0. 2. 0. 0.]
 [0. 0. 1. 2. 2. 0. 3. 0. 2. 0. 0.]
 [0. 0. 2. 0. 0. 5. 0. 0. 2. 1. 0.]
 [0. 0. 0. 0. 2. 2. 3. 0. 3. 0. 0.]
 [1. 0. 0. 0. 0. 1. 3. 0. 4. 1. 0.]
 [0. 0. 1. 1. 1. 1. 0. 0. 6. 0. 0.]
 [0. 0. 2. 0. 0. 1. 2. 0. 2. 3. 0.]
 [0. 0. 4. 0. 0. 4. 0. 0. 2. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,0,0.2,0.43,0.0,0.8806789826011627,0.47233698428090176,-193.09876578444644,"[[0. 4. 0. 2. 2. 0. 0. 0. 0. 1. 1.]
 [0. 2. 0. 1. 2. 0. 1. 0. 0. 3. 1.]
 [0. 0. 0. 2. 1. 0. 1. 0. 0. 6. 0.]
 [0. 0. 0. 4. 3. 0. 2. 0. 0. 1. 0.]
 [0. 0. 0. 5. 0. 3. 0. 0. 0. 2. 0.]
 [0. 2. 0. 3. 2. 1. 1. 0. 0. 1. 0.]
 [0. 2. 0. 4. 2. 1. 0. 0. 0. 1. 0.]
 [0. 0. 0. 1. 3. 0. 2. 0. 0. 3. 1.]
 [0. 1. 0. 1. 1. 1. 0. 0. 0. 6. 0.]
 [0. 1. 0. 3. 1. 0. 1. 0. 0. 3. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,0,0.25,0.43,0.02,0.7968151687284609,0.44851235443907816,-191.48371190273184,"[[0. 5. 0. 0. 0. 0. 2. 0. 0. 3. 0.]
 [1. 3. 0. 1. 0. 0. 0. 0. 3. 2. 0.]
 [0. 0. 0. 5. 0. 1. 0. 0. 2. 2. 0.]
 [0. 2. 0. 1. 0. 0. 2. 0. 3. 2. 0.]
 [0. 1. 0. 0. 0. 1. 0. 0. 5. 3. 0.]
 [1. 1. 0. 0. 0. 1. 3. 0. 3. 1. 0.]
 [0. 0. 0. 0. 0. 2. 2. 3. 1. 2. 0.]
 [0. 0. 0. 0. 0. 1. 0. 1. 6. 2. 0.]
 [0. 0. 0. 1. 0. 2. 2. 0. 3. 2. 0.]
 [0. 0. 0. 0. 0. 8. 0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,0,0.29,0.52,0.03,0.8140034354575354,0.4590281546630598,-191.73607556594766,"[[0. 3. 0. 0. 1. 0. 3. 1. 0. 0. 2.]
 [0. 3. 4. 0. 1. 0. 0. 1. 0. 0. 1.]
 [0. 0. 2. 0. 1. 0. 4. 0. 2. 0. 1.]
 [0. 2. 0. 0. 3. 1. 2. 1. 1. 0. 0.]
 [1. 0. 1. 0. 2. 2. 1. 0. 2. 0. 1.]
 [0. 2. 0. 0. 0. 0. 7. 0. 0. 0. 1.]
 [1. 2. 0. 0. 0. 0. 4. 2. 0. 0. 1.]
 [1. 0. 3. 0. 0. 0. 1. 1. 4. 0. 0.]
 [0. 0. 0. 0. 0. 0. 4. 1. 1. 3. 1.]
 [0. 0. 3. 0. 1. 0. 3. 2. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,25,0.31,0.59,0.0,0.7366604164585253,0.427927462195284,-188.93212066720403,"[[0. 5. 0. 0. 1. 0. 0. 0. 4. 0. 0.]
 [0. 1. 5. 0. 0. 0. 0. 1. 0. 3. 0.]
 [0. 1. 0. 7. 0. 0. 0. 1. 0. 0. 1.]
 [0. 1. 0. 1. 1. 0. 0. 5. 1. 0. 1.]
 [0. 3. 0. 2. 0. 0. 0. 1. 2. 2. 0.]
 [0. 1. 0. 0. 1. 0. 0. 1. 1. 2. 4.]
 [0. 2. 0. 0. 1. 0. 0. 2. 3. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 3. 2. 1. 4.]
 [0. 3. 0. 0. 0. 0. 0. 0. 2. 3. 2.]
 [0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 6.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,25,0.28,0.55,0.03,0.8260049305362073,0.4537218468299814,-192.23643975116659,"[[1. 3. 0. 2. 2. 1. 0. 0. 0. 1. 0.]
 [0. 0. 1. 0. 4. 1. 1. 0. 0. 2. 1.]
 [0. 0. 0. 6. 1. 1. 1. 0. 0. 1. 0.]
 [0. 0. 0. 1. 7. 1. 0. 0. 0. 0. 1.]
 [1. 0. 0. 1. 3. 2. 2. 0. 0. 0. 1.]
 [0. 2. 0. 2. 1. 0. 2. 0. 0. 3. 0.]
 [1. 0. 1. 0. 2. 1. 2. 0. 0. 1. 2.]
 [0. 2. 0. 0. 3. 0. 2. 0. 0. 1. 2.]
 [0. 1. 0. 0. 2. 1. 3. 0. 0. 3. 0.]
 [0. 0. 0. 1. 5. 0. 0. 0. 0. 0. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,25,0.23,0.51,0.01,0.8097404882696561,0.4539876907265992,-192.99713911518484,"[[0. 0. 0. 0. 0. 2. 0. 2. 3. 1. 2.]
 [0. 0. 3. 0. 2. 0. 0. 1. 1. 0. 3.]
 [0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 7.]
 [0. 0. 1. 0. 1. 0. 0. 5. 0. 0. 3.]
 [0. 0. 0. 0. 0. 3. 0. 2. 1. 1. 3.]
 [1. 0. 3. 0. 0. 0. 0. 4. 0. 0. 2.]
 [0. 0. 0. 0. 1. 0. 0. 6. 2. 0. 1.]
 [0. 0. 0. 0. 1. 0. 0. 3. 4. 0. 2.]
 [0. 0. 0. 0. 2. 1. 0. 1. 0. 2. 4.]
 [0. 0. 0. 0. 1. 0. 0. 3. 1. 1. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,25,0.23,0.36,0.02,0.8596384109720816,0.47115075291360925,-194.73955328490635,"[[0. 0. 0. 0. 1. 0. 2. 0. 3. 3. 1.]
 [1. 0. 0. 0. 0. 1. 3. 0. 2. 0. 3.]
 [0. 0. 0. 4. 0. 0. 3. 0. 0. 3. 0.]
 [0. 0. 0. 1. 2. 2. 1. 0. 3. 1. 0.]
 [0. 0. 0. 0. 1. 1. 3. 0. 5. 0. 0.]
 [1. 0. 0. 1. 0. 0. 7. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0. 4. 0. 2. 2. 1.]
 [0. 0. 0. 1. 0. 1. 3. 0. 3. 1. 1.]
 [0. 0. 0. 0. 0. 0. 2. 0. 3. 5. 0.]
 [0. 0. 0. 2. 0. 2. 0. 0. 3. 2. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,25,0.18,0.51,0.04,0.8025000689800255,0.448899842130754,-188.6400636889178,"[[0. 5. 0. 2. 0. 1. 2. 0. 0. 0. 0.]
 [0. 0. 1. 2. 3. 1. 3. 0. 0. 0. 0.]
 [1. 2. 1. 4. 0. 0. 1. 0. 0. 1. 0.]
 [0. 0. 1. 1. 4. 1. 1. 0. 0. 2. 0.]
 [1. 0. 1. 4. 2. 0. 2. 0. 0. 0. 0.]
 [0. 0. 0. 1. 4. 0. 4. 0. 0. 1. 0.]
 [1. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.]
 [1. 5. 0. 1. 1. 2. 0. 0. 0. 0. 0.]
 [0. 1. 4. 1. 2. 0. 2. 0. 0. 0. 0.]
 [0. 0. 1. 2. 2. 0. 5. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
